"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"39","Lausanne","Lausanne","Losanna","VD",73.07483731,"Lausanne","Lausanne","Losanna","VD","VD","VD",73.07483731,73.07483731,73.07483731
"40","Bettens","Bettens","Bettens","VD",72.820512821,"Bettens","Bettens","Bettens","VD","VD","VD",72.820512821,72.820512821,72.820512821
"41","Bretigny-sur-Morrens","Bretigny-sur-Morrens","Bretigny-sur-Morrens","VD",72.791519435,"Bretigny-sur-Morrens","Bretigny-sur-Morrens","Bretigny-sur-Morrens","VD","VD","VD",72.791519435,72.791519435,72.791519435
"42","Lenzburg","Lenzburg","Lenzburg","AG",72.788024592,"Lenzburg","Lenzburg","Lenzburg","AG","AG","AG",72.788024592,72.788024592,72.788024592
"43","Mauraz","Mauraz","Mauraz","VD",72.727272727,"Mauraz","Mauraz","Mauraz","VD","VD","VD",72.727272727,72.727272727,72.727272727
"44","Bursins","Bursins","Bursins","VD",72.635135135,"Bursins","Bursins","Bursins","VD","VD","VD",72.635135135,72.635135135,72.635135135
"45","Sissach","Sissach","Sissach","BL",72.603773585,"Sissach","Sissach","Sissach","BL","BL","BL",72.603773585,72.603773585,72.603773585
"46","Cerlier","Erlach","Erlach","BE",72.580645161,"Cerlier","Erlach","Erlach","BE","BE","BE",72.580645161,72.580645161,72.580645161
"47","Sursee","Sursee","Sursee","LU",72.573226822,"Sursee","Sursee","Sursee","LU","LU","LU",72.573226822,72.573226822,72.573226822
"48","Schnottwil","Schnottwil","Schnottwil","SO",72.463768116,"Schnottwil","Schnottwil","Schnottwil","SO","SO","SO",72.463768116,72.463768116,72.463768116
"49","Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO",72.433192686,"Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO","SO","SO",72.433192686,72.433192686,72.433192686
"50","Penthéréaz","Penthéréaz","Penthéréaz","VD",72.413793103,"Penthéréaz","Penthéréaz","Penthéréaz","VD","VD","VD",72.413793103,72.413793103,72.413793103
