"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"29","La Scheulte","Schelten","Schelten","BE",52.777777778,"La Scheulte","Schelten","Schelten","BE","BE","BE",52.777777778,52.777777778,52.777777778
"30","Wohlen bei Bern","Wohlen bei Bern","Wohlen bei Bern","BE",52.717503616,"Wohlen bei Bern","Wohlen bei Bern","Wohlen bei Bern","BE","BE","BE",52.717503616,52.717503616,52.717503616
"31","Lausanne","Lausanne","Losanna","VD",52.086722563,"Lausanne","Lausanne","Losanna","VD","VD","VD",52.086722563,52.086722563,52.086722563
"32","Rheinau","Rheinau","Rheinau","ZH",52.012882448,"Rheinau","Rheinau","Rheinau","ZH","ZH","ZH",52.012882448,52.012882448,52.012882448
"33","Turgi","Turgi","Turgi","AG",51.600985222,"Turgi","Turgi","Turgi","AG","AG","AG",51.600985222,51.600985222,51.600985222
"34","Muri bei Bern","Muri bei Bern","Muri bei Bern","BE",51.571709234,"Muri bei Bern","Muri bei Bern","Muri bei Bern","BE","BE","BE",51.571709234,51.571709234,51.571709234
"35","Carouge (GE)","CarouGE","CarouGE","GE",51.354166667,"Carouge (GE)","CarouGE","CarouGE","GE","GE","GE",51.354166667,51.354166667,51.354166667
"36","Uster","Uster","Uster","ZH",51.287477954,"Uster","Uster","Uster","ZH","ZH","ZH",51.287477954,51.287477954,51.287477954
"37","Bolligen","Bolligen","Bolligen","BE",51.124620061,"Bolligen","Bolligen","Bolligen","BE","BE","BE",51.124620061,51.124620061,51.124620061
"38","Dittingen","Dittingen","Dittingen","BL",51.063829787,"Dittingen","Dittingen","Dittingen","BL","BL","BL",51.063829787,51.063829787,51.063829787
"39","Seegräben","Seegräben","Seegräben","ZH",51.026392962,"Seegräben","Seegräben","Seegräben","ZH","ZH","ZH",51.026392962,51.026392962,51.026392962
"40","Hilterfingen","Hilterfingen","Hilterfingen","BE",50.801886792,"Hilterfingen","Hilterfingen","Hilterfingen","BE","BE","BE",50.801886792,50.801886792,50.801886792
"41","Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO",50.769230769,"Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO","SO","SO",50.769230769,50.769230769,50.769230769
"42","Windisch","Windisch","Windisch","AG",50.746840291,"Windisch","Windisch","Windisch","AG","AG","AG",50.746840291,50.746840291,50.746840291
"43","Lenzburg","Lenzburg","Lenzburg","AG",50.734312417,"Lenzburg","Lenzburg","Lenzburg","AG","AG","AG",50.734312417,50.734312417,50.734312417
"44","Münchenstein","Münchenstein","Münchenstein","BL",50.720461095,"Münchenstein","Münchenstein","Münchenstein","BL","BL","BL",50.720461095,50.720461095,50.720461095
"45","Rehetobel","Rehetobel","Rehetobel","AR",50.702702703,"Rehetobel","Rehetobel","Rehetobel","AR","AR","AR",50.702702703,50.702702703,50.702702703
"46","Greifensee","Greifensee","Greifensee","ZH",50.676982592,"Greifensee","Greifensee","Greifensee","ZH","ZH","ZH",50.676982592,50.676982592,50.676982592
"47","Aranno","Aranno","Aranno","TI",50.657894737,"Aranno","Aranno","Aranno","TI","TI","TI",50.657894737,50.657894737,50.657894737
"48","Rorschach","Rorschach","Rorschach","SG",50.617283951,"Rorschach","Rorschach","Rorschach","SG","SG","SG",50.617283951,50.617283951,50.617283951
"49","Trin","Trin","Trin","GR",50.59602649,"Trin","Trin","Trin","GR","GR","GR",50.59602649,50.59602649,50.59602649
"50","Cerlier","Erlach","Erlach","BE",50.330033003,"Cerlier","Erlach","Erlach","BE","BE","BE",50.330033003,50.330033003,50.330033003
