"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"20","Sembrancher","Sembrancher","Sembrancher","VS",40.691489362,"Sembrancher","Sembrancher","Sembrancher","VS","VS","VS",59.308510638,59.308510638,59.308510638
"21","Luthern","Luthern","Luthern","LU",40.975609756,"Luthern","Luthern","Luthern","LU","LU","LU",59.024390244,59.024390244,59.024390244
"22","Reitnau","Reitnau","Reitnau","AG",41.324921136,"Reitnau","Reitnau","Reitnau","AG","AG","AG",58.675078864,58.675078864,58.675078864
"23","Poschiavo","Poschiavo","Poschiavo","GR",41.866028708,"Poschiavo","Poschiavo","Poschiavo","GR","GR","GR",58.133971292,58.133971292,58.133971292
"24","Orsières","Orsières","Orsières","VS",41.869599372,"Orsières","Orsières","Orsières","VS","VS","VS",58.130400628,58.130400628,58.130400628
"25","Val-d'Illiez","Val-d'Illiez","Val-d'Illiez","VS",42.323651452,"Val-d'Illiez","Val-d'Illiez","Val-d'Illiez","VS","VS","VS",57.676348548,57.676348548,57.676348548
"26","Luzein","Luzein","Luzein","GR",42.62295082,"Luzein","Luzein","Luzein","GR","GR","GR",57.37704918,57.37704918,57.37704918
"27","Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS",42.62295082,"Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS","VS","VS",57.37704918,57.37704918,57.37704918
"28","Wiliberg","Wiliberg","Wiliberg","AG",43.010752688,"Wiliberg","Wiliberg","Wiliberg","AG","AG","AG",56.989247312,56.989247312,56.989247312
"29","Dürrenäsch","Dürrenäsch","Dürrenäsch","AG",43.014705882,"Dürrenäsch","Dürrenäsch","Dürrenäsch","AG","AG","AG",56.985294118,56.985294118,56.985294118
"30","Brusio","Brusio","Brusio","GR",43.072289157,"Brusio","Brusio","Brusio","GR","GR","GR",56.927710843,56.927710843,56.927710843
"31","Rothenthurm","Rothenthurm","Rothenthurm","SZ",43.137254902,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",56.862745098,56.862745098,56.862745098
"32","Urmein","Urmein","Urmein","GR",43.421052632,"Urmein","Urmein","Urmein","GR","GR","GR",56.578947368,56.578947368,56.578947368
"33","Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD",43.67816092,"Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD","VD","VD",56.32183908,56.32183908,56.32183908
"34","Blatten","Blatten","Blatten","VS",43.75,"Blatten","Blatten","Blatten","VS","VS","VS",56.25,56.25,56.25
"35","Leutwil","Leutwil","Leutwil","AG",44.012944984,"Leutwil","Leutwil","Leutwil","AG","AG","AG",55.987055016,55.987055016,55.987055016
"36","Gontenschwil","Gontenschwil","Gontenschwil","AG",44.042838019,"Gontenschwil","Gontenschwil","Gontenschwil","AG","AG","AG",55.957161981,55.957161981,55.957161981
"37","Lütisburg","Lütisburg","Lütisburg","SG",44.054580897,"Lütisburg","Lütisburg","Lütisburg","SG","SG","SG",55.945419103,55.945419103,55.945419103
"38","Schönengrund","Schönengrund","Schönengrund","AR",44.06779661,"Schönengrund","Schönengrund","Schönengrund","AR","AR","AR",55.93220339,55.93220339,55.93220339
"39","Niederbüren","Niederbüren","Niederbüren","SG",44.338118022,"Niederbüren","Niederbüren","Niederbüren","SG","SG","SG",55.661881978,55.661881978,55.661881978
"40","L'Abbaye","L'Abbaye","L'Abbaye","VD",44.833625219,"L'Abbaye","L'Abbaye","L'Abbaye","VD","VD","VD",55.166374781,55.166374781,55.166374781
"41","Lauerz","Lauerz","Lauerz","SZ",45.064377682,"Lauerz","Lauerz","Lauerz","SZ","SZ","SZ",54.935622318,54.935622318,54.935622318
"42","Zetzwil","Zetzwil","Zetzwil","AG",45.176848875,"Zetzwil","Zetzwil","Zetzwil","AG","AG","AG",54.823151125,54.823151125,54.823151125
"43","Escholzmatt-Marbach","Escholzmatt-Marbach","Escholzmatt-Marbach","LU",45.195288283,"Escholzmatt-Marbach","Escholzmatt-Marbach","Escholzmatt-Marbach","LU","LU","LU",54.804711717,54.804711717,54.804711717
"44","Vorderthal","Vorderthal","Vorderthal","SZ",45.259938838,"Vorderthal","Vorderthal","Vorderthal","SZ","SZ","SZ",54.740061162,54.740061162,54.740061162
"45","Provence","Provence","Provence","VD",45.27027027,"Provence","Provence","Provence","VD","VD","VD",54.72972973,54.72972973,54.72972973
"46","Saint-Martin (VS)","Saint-Martin VS","Saint-Martin VS","VS",45.363408521,"Saint-Martin (VS)","Saint-Martin VS","Saint-Martin VS","VS","VS","VS",54.636591479,54.636591479,54.636591479
"47","Schmitten (GR)","Schmitten GR","Schmitten GR","GR",45.555555556,"Schmitten (GR)","Schmitten GR","Schmitten GR","GR","GR","GR",54.444444444,54.444444444,54.444444444
"48","Ergisch","Ergisch","Ergisch","VS",45.614035088,"Ergisch","Ergisch","Ergisch","VS","VS","VS",54.385964912,54.385964912,54.385964912
"49","Eggerberg","Eggerberg","Eggerberg","VS",45.762711864,"Eggerberg","Eggerberg","Eggerberg","VS","VS","VS",54.237288136,54.237288136,54.237288136
"50","Schlossrued","Schlossrued","Schlossrued","AG",46.056782334,"Schlossrued","Schlossrued","Schlossrued","AG","AG","AG",53.943217666,53.943217666,53.943217666
